Timestamp,CPU%,Memory(MB)
2025-01-27 10:45:16,0.3,26.36
2025-01-27 10:45:31,0.3,26.37
2025-01-27 10:45:46,0.0,26.38
2025-01-27 10:46:01,0.2,26.40
2025-01-27 10:46:16,0.0,26.47
2025-01-27 10:46:31,0.5,26.50
2025-01-27 10:46:47,0.0,26.50
2025-01-27 10:47:02,0.0,26.50
2025-01-27 10:47:17,0.0,26.51
2025-01-27 10:47:32,1.9,26.56
2025-01-27 10:47:47,0.0,26.59
2025-01-27 10:48:02,0.0,26.61
2025-01-27 10:48:17,0.0,26.61
2025-01-27 10:48:32,0.0,26.63
2025-01-27 10:48:47,0.0,26.63
2025-01-27 10:49:02,0.0,26.64
2025-01-27 10:49:17,0.0,26.66
2025-01-27 10:49:32,0.0,26.66
2025-01-27 10:49:47,0.0,26.66
2025-01-27 10:50:02,0.0,26.66
2025-01-27 10:50:17,0.0,26.66
2025-01-27 10:50:33,0.0,26.66
2025-01-27 10:50:48,0.0,26.66
2025-01-27 10:51:03,0.0,26.66
2025-01-27 10:51:18,0.0,26.66
2025-01-27 10:51:33,0.0,26.66
2025-01-27 10:51:48,0.0,26.66
2025-01-27 10:52:03,0.0,26.66
2025-01-27 10:52:18,0.0,26.66
2025-01-27 10:52:33,0.1,26.66
2025-01-27 10:52:48,0.0,26.66
2025-01-27 10:53:03,0.0,26.69
2025-01-27 10:53:18,0.0,26.72
2025-01-27 10:53:33,0.0,26.75
2025-01-27 10:53:48,0.0,26.76
2025-01-27 10:54:04,0.0,26.79
2025-01-27 10:54:19,0.0,26.81
2025-01-27 10:54:34,0.0,26.83
2025-01-27 10:54:49,0.0,26.83
2025-01-27 10:55:04,0.0,26.83
2025-01-27 10:55:19,0.0,26.85
2025-01-27 10:55:34,0.0,26.87
2025-01-27 10:55:49,0.0,26.87
2025-01-27 10:56:04,0.0,26.87
2025-01-27 10:56:19,0.0,26.91
2025-01-27 10:56:34,0.0,26.93
2025-01-27 10:56:49,0.0,26.93
2025-01-27 10:57:04,0.0,26.93
2025-01-27 10:57:19,0.0,26.95
2025-01-27 10:57:35,0.0,26.98
2025-01-27 10:57:50,0.0,26.98
2025-01-27 10:58:05,0.0,26.98
2025-01-27 10:58:20,0.0,27.00
2025-01-27 10:58:39,0.0,27.01
2025-01-27 10:58:54,0.0,27.01
2025-01-27 10:59:09,0.0,27.01
2025-01-27 10:59:35,0.0,27.02
2025-01-27 10:59:50,0.1,27.02
2025-01-27 11:00:05,0.0,27.02
2025-01-27 11:00:20,0.0,27.02
2025-01-27 11:03:23,0.0,27.02
2025-01-27 11:03:38,0.0,27.03
2025-01-27 11:03:54,0.0,27.03
2025-01-27 11:04:09,0.0,27.03
2025-01-27 11:06:24,0.0,27.03
2025-01-27 11:06:39,0.0,27.04
2025-01-27 11:06:54,0.0,27.04
2025-01-27 11:07:10,0.0,27.04
2025-01-27 11:14:53,0.0,27.04
2025-01-27 11:15:08,0.4,27.07
2025-01-27 11:15:23,0.0,26.88
2025-01-27 11:15:38,0.0,26.92
2025-01-27 11:15:53,0.0,26.92
2025-01-27 11:16:08,0.0,26.92
2025-01-27 11:16:23,0.0,26.92
2025-01-27 11:16:38,0.0,26.92
2025-01-27 11:16:54,0.0,26.92
2025-01-27 11:17:09,0.0,26.92
2025-01-27 11:17:24,0.0,26.93
2025-01-27 11:17:39,0.0,26.93
2025-01-27 11:17:54,0.0,26.93
2025-01-27 11:18:09,0.0,26.93
2025-01-27 11:18:24,0.0,26.93
2025-01-27 11:18:39,0.0,26.93
2025-01-27 11:18:54,0.0,26.93
2025-01-27 11:19:09,0.0,26.93
2025-01-27 11:19:24,0.0,26.93
2025-01-27 11:19:39,0.0,26.93
2025-01-27 11:19:54,0.2,26.93
2025-01-27 11:20:09,0.0,26.93
2025-01-27 11:20:25,0.0,27.11
2025-01-27 11:20:40,0.0,28.41
2025-01-27 11:20:55,0.0,28.41
2025-01-27 11:21:10,0.0,28.45
2025-01-27 11:21:25,0.0,28.50
2025-01-27 11:21:40,0.0,28.50
2025-01-27 11:21:55,0.0,28.50
2025-01-27 11:22:10,0.0,28.50
2025-01-27 11:22:25,0.0,28.52
2025-01-27 11:22:40,0.0,28.58
2025-01-27 11:22:55,0.0,28.60
2025-01-27 11:23:10,0.0,28.60
2025-01-27 11:23:25,0.0,28.60
2025-01-27 11:23:41,0.0,28.60
2025-01-27 11:23:56,0.0,28.60
2025-01-27 11:24:11,0.0,28.60
2025-01-27 11:24:26,0.0,28.61
2025-01-27 11:24:41,0.0,28.62
2025-01-27 11:24:56,0.0,28.62
2025-01-27 11:25:11,0.0,28.62
2025-01-27 11:25:26,0.0,28.63
2025-01-27 11:25:41,0.0,28.64
2025-01-27 11:25:56,0.0,28.66
2025-01-27 11:26:11,0.0,28.66
2025-01-27 11:26:26,0.0,28.68
2025-01-27 11:26:41,0.0,28.68
2025-01-27 11:26:56,0.0,28.68
2025-01-27 11:27:11,0.0,28.69
2025-01-27 11:27:27,0.0,28.71
2025-01-27 11:27:42,0.0,28.71
2025-01-27 11:27:57,0.0,28.71
2025-01-27 11:28:12,0.0,28.71
2025-01-27 11:28:27,0.0,28.71
2025-01-27 11:28:42,0.2,28.71
2025-01-27 11:28:57,0.0,28.71
2025-01-27 11:29:12,0.2,28.71
2025-01-27 11:29:27,0.0,28.71
2025-01-27 11:29:42,0.1,28.72
2025-01-27 11:29:57,0.0,28.72
2025-01-27 11:30:12,0.0,28.72
2025-01-27 11:30:27,0.0,28.72
2025-01-27 11:30:42,0.0,28.72
2025-01-27 11:30:58,0.0,28.72
2025-01-27 11:31:13,0.0,28.72
2025-01-27 11:31:28,0.0,28.72
2025-01-27 11:31:43,0.0,28.72
2025-01-27 11:31:58,0.0,28.72
2025-01-27 11:32:13,0.0,28.72
2025-01-27 11:32:28,0.0,28.72
2025-01-27 11:32:43,0.0,28.72
2025-01-27 11:32:58,0.0,28.72
2025-01-27 11:33:13,0.0,28.72
2025-01-27 11:33:28,0.0,28.72
2025-01-27 11:33:43,0.0,28.72
2025-01-27 11:33:58,0.0,28.73
